name of company,college name,region,year,Salary
BNP PARIBAS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,53484
BNP PARIBAS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,53484
BNP PARIBAS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,53484
BNP PARIBAS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,38791
MASTEK,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,38791
MASTEK,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,38791
MASTEK,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,38791
MASTEK,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,38791
MASTEK,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,305980
HCL TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,305980
HCL TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,305980
HCL TECHNOLOGIES,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,901680
RUBIQUE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,1001186
TOPPR.COM,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,1001186
TOPPR.COM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,1001186
TOPPR.COM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,1001186
TOPPR.COM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,395431
ECLERX,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,395431
ECLERX,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,395431
ECLERX,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,395431
ECLERX,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,45290
